                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.5059,                 3.4207,                 2.8436,                 1.9558,                 6.6828,                 2.6152,                0.00053,                0.15789,                0.00036,                0.00017,                 2.8738,                 4.4973,                 3.6843,                  3.375,                 14.277,                 4.0688,              0.0012583,              0.0012583,              0.0012583
                     25,                  2.935,                 3.1398,                 2.9216,                 2.3707,                 6.2101,                 2.6536,                0.00053,                0.15789,                0.00037,                0.00018,                 3.3725,                 4.5524,                 4.1014,                 3.5276,                 14.373,                  4.295,              0.0013042,              0.0013042,              0.0013042
                     26,                 2.4958,                 2.9732,                 2.6113,                 1.8645,                 6.0168,                 2.2358,                0.00053,                0.15789,                0.00035,                0.00019,                 2.6173,                  4.417,                 3.3822,                 2.6699,                 11.777,                 3.5057,              0.0013494,              0.0013494,              0.0013494
                     27,                 2.8412,                 3.2766,                 2.9182,                 2.2509,                  6.256,                 2.6249,                0.00053,                0.15789,                0.00035,                0.00019,                 2.7097,                 4.3966,                 3.5479,                 2.8065,                 11.503,                 3.7036,              0.0013941,              0.0013941,              0.0013941
                     28,                 2.7413,                 2.8992,                 2.8631,                 2.0274,                 5.6769,                 2.5073,                0.00053,                0.15789,                0.00036,                0.00017,                  3.457,                 4.4446,                 4.3587,                 3.4154,                 11.882,                 4.3669,              0.0014381,              0.0014381,              0.0014381
                     29,                 2.5614,                 2.9852,                 2.9269,                 1.9734,                 5.8372,                 2.4535,                0.00053,                0.15789,                0.00032,                  9e-05,                 3.4781,                 4.4268,                 4.3429,                 3.4266,                 11.449,                 4.3058,              0.0014816,              0.0014816,              0.0014816
                     30,                 2.6745,                 2.8002,                 2.8039,                 2.1862,                 5.5219,                 2.4579,                0.00053,                0.15789,                0.05533,                0.01482,                 3.4565,                  4.417,                 4.2451,                 3.3927,                 11.046,                 4.2402,              0.0015245,              0.0015245,              0.0015245
                     31,                 2.5369,                 2.5967,                 2.6737,                 2.0825,                 5.1648,                 2.3606,                0.00053,                0.15789,                0.00272,                0.00101,                 3.2393,                 4.3731,                 3.9131,                 3.3418,                 10.801,                 4.0703,              0.0015668,              0.0015668,              0.0015668
                     32,                 2.4414,                 2.5247,                 2.6426,                 1.8338,                 4.8205,                 2.2852,                0.00053,                0.15789,                0.05983,                0.02428,                 2.8706,                   4.34,                 3.5738,                 3.1086,                  10.16,                 4.0607,              0.0016084,              0.0016084,              0.0016084
                     33,                 2.4549,                 2.7368,                 2.6972,                 2.1152,                 5.2565,                 2.5882,                0.00053,                0.15789,                0.07195,                0.02966,                 2.7168,                 4.2831,                 3.5102,                 2.8686,                 9.7162,                 3.9205,              0.0016495,              0.0016495,              0.0016495
